Age,Channel,Band,AbsMean_log10,AbsSD_log10,RelMean,RelSD
9,T7,Theta,0.909399,0.054816,-0.959785,0.438730
9,T7,Alpha,0.949264,0.066362,-0.288974,0.558074
9,T7,Beta,0.729175,0.047104,-3.059999,0.377081
9,T7,Total,1.039959,0.049224,NaN,NaN
9,C3,Delta,0.907112,0.052052,-1.491115,0.505673
9,C3,Theta,0.910198,0.063455,-1.356587,0.543134
9,C3,Alpha,1.002604,0.076906,0.121216,0.633604
9,C3,Beta,0.751617,0.053129,-3.133793,0.458523
9,C3,Total,1.071687,0.059939,NaN,NaN
9,Cz,Delta,0.908451,0.056124,-1.466209,0.461934
9,Cz,Theta,0.910964,0.065276,-1.337671,0.506018
9,Cz,Alpha,1.000970,0.075860,0.093780,0.581491
9,Cz,Beta,0.752578,0.054672,-3.121278,0.443167
9,Cz,Total,1.070696,0.060984,NaN,NaN
9,C4,Delta,0.823353,0.044583,-0.469348,0.355929
9,C4,Theta,0.794168,0.052145,-0.853543,0.344948
9,C4,Alpha,0.761957,0.056276,-1.245562,0.465411
9,C4,Beta,0.639737,0.047672,-2.684688,0.310579
9,C4,Total,0.916179,0.043959,NaN,NaN
9,T8,Delta,0.831161,0.043416,-0.465725,0.382234
9,T8,Theta,0.798962,0.045414,-0.902676,0.318788
9,T8,Alpha,0.774688,0.050370,-1.200866,0.453445
9,T8,Beta,0.650122,0.042316,-2.666805,0.290927
9,T8,Total,0.924340,0.038485,NaN,NaN
9,P7,Delta,0.816769,0.037125,-0.848514,0.335893
9,P7,Theta,0.817264,0.050754,-0.778025,0.359942
9,P7,Alpha,0.806427,0.057678,-0.890860,0.479377
9,P7,Beta,0.660994,0.050082,-2.596595,0.454233
9,P7,Total,0.934118,0.040787,NaN,NaN
9,P3,Delta,0.822801,0.037920,-0.864484,0.326297
9,P3,Theta,0.823216,0.052205,-0.809327,0.337911
9,P3,Alpha,0.818166,0.056820,-0.839723,0.445935
9,P3,Beta,0.671494,0.047918,-2.590313,0.384147
9,P3,Total,0.942060,0.042401,NaN,NaN
9,Pz,Delta,0.850350,0.052071,-1.049813,0.434783
9,Pz,Theta,0.845427,0.063728,-1.008206,0.442190
9,Pz,Alpha,0.875888,0.073727,-0.503367,0.599222
9,Pz,Beta,0.684990,0.050410,-2.846339,0.466569
9,Pz,Total,0.979312,0.056252,NaN,NaN
9,P4,Delta,0.861967,0.049757,-1.159579,0.419392
9,P4,Theta,0.860706,0.064261,-1.065021,0.451918
9,P4,Alpha,0.904669,0.075866,-0.360572,0.584647
9,P4,Beta,0.701907,0.052921,-2.888346,0.412220
9,P4,Total,0.998743,0.058416,NaN,NaN
9,P8,Delta,0.902789,0.034903,-0.630608,0.345176
9,P8,Theta,0.900722,0.051963,-0.626533,0.385606
9,P8,Alpha,0.858942,0.047606,-1.213224,0.441989
9,P8,Beta,0.711348,0.042903,-2.917299,0.276504
9,P8,Total,1.007936,0.036665,NaN,NaN
9,O1,Delta,0.913308,0.032097,-0.812003,0.335238
